threshold_3[], 0.0015, 0.003, 0.0042, 0.0051, 0.0064, 0.0076, 0.0083, 0.01, 0.03, 0.06
isolated , 1, 1, 1, 0.742, 0.41, 0.052, 0, 0, 0, 0
